capacity,gap,owner,wide,live,number,repetition,mean_ns,lower_ns,upper_ns,iterations,samples,base,bytes,extra_bytes,actual_capacity
131072,0,0,0,65535,156,2,436559.0,433291.0,439914.0,1.0,100.0,6532377542656,25559040,0,131072
131072,0,1,1,65535,157,2,6924775.0,6918744.0,6933792.0,1.0,100.0,4923643854848,25559040,0,131072
100032,128,0,1,65535,158,2,1339971.0,1334757.0,1357066.0,1.0,100.0,5470178443264,19512896,6656,100032
65536,0,2,0,65535,159,2,423294.0,419605.0,427908.0,1.0,100.0,0,12779520,,65536
65536,192,0,1,65535,160,2,1293137.0,1291284.0,1296019.0,1.0,100.0,2467727867904,12789504,9984,65536
65600,0,0,0,65535,161,2,424771.0,420090.0,429276.0,1.0,100.0,3637032714240,12792000,0,65600
65536,0,1,0,65535,162,2,427612.0,424111.0,432345.0,1.0,100.0,4779225579520,12779520,0,65536
65600,0,1,1,65535,163,2,1329017.0,1327082.0,1331674.0,1.0,100.0,3745749073920,12792000,0,65600
75008,1024,0,0,65535,164,2,392990.0,391359.0,395511.0,1.0,100.0,5574868271104,14679808,53248,75008
100032,0,0,0,65535,165,2,398969.0,395713.0,402911.0,1.0,100.0,3001109118976,19506240,0,100032
131072,192,0,0,65535,166,2,396749.0,393149.0,401360.0,1.0,100.0,6146635792384,25569024,9984,131072
65600,768,0,0,65535,167,2,415540.0,410408.0,420958.0,1.0,100.0,3298535604224,12831936,39936,65600
100032,0,1,1,65535,168,2,1329784.0,1327246.0,1334039.0,1.0,100.0,3791651536896,19506240,0,100032
75008,128,0,1,65535,169,2,1300443.0,1295341.0,1315792.0,1.0,100.0,4760971968512,14633216,6656,75008
65600,192,0,0,65535,170,2,396212.0,392709.0,401007.0,1.0,100.0,5796327522304,12801984,9984,65600
100032,64,0,1,65535,171,2,1307616.0,1302974.0,1314338.0,1.0,100.0,4090957070336,19509568,3328,100032
65600,768,0,1,65535,172,2,1379888.0,1371628.0,1411873.0,1.0,100.0,3077076353024,12831936,39936,65600
75008,0,1,0,65535,173,2,404731.0,402145.0,408190.0,1.0,100.0,2372701716480,14626560,0,75008
65536,0,2,1,65535,174,2,6584015.0,6576196.0,6608586.0,1.0,100.0,0,12779520,,65536
65536,0,0,0,65535,175,2,419917.0,417205.0,422887.0,1.0,100.0,2922457530368,12779520,0,65536
65536,0,0,1,65535,176,2,6907633.0,6902818.0,6913259.0,1.0,100.0,3471676473344,12779520,0,65536
65600,0,1,0,65535,177,2,422025.0,417176.0,427099.0,1.0,100.0,5620502298624,12792000,0,65600
131072,0,0,1,65535,178,2,7033486.0,7027253.0,7041652.0,1.0,100.0,3064191451136,25559040,0,131072
75008,0,0,0,65535,179,2,427748.0,421198.0,434689.0,1.0,100.0,2670665072640,14626560,0,75008
75008,0,0,1,65535,180,2,1341760.0,1339193.0,1345458.0,1.0,100.0,4792647352320,14626560,0,75008
100032,0,1,0,65535,181,2,402119.0,397978.0,410163.0,1.0,100.0,5087389483008,19506240,0,100032
100032,64,0,0,65535,182,2,413278.0,408660.0,417963.0,1.0,100.0,2558459052032,19509568,3328,100032
75008,0,1,1,65535,183,2,1356655.0,1354099.0,1360492.0,1.0,100.0,5515544035328,14626560,0,75008
75008,1024,0,1,65535,184,2,1378995.0,1377041.0,1381287.0,1.0,100.0,5114501464064,14679808,53248,75008
